iter	RMSE
0	105.8976667
1	87.77711664
2	73.8302516
3	63.02067394
4	53.51712049
5	46.58062375
6	40.91725743
7	35.68779973
8	32.39827994
9	28.8954136
10	26.23116949
11	24.16987677
12	22.12062183
13	21.08544554
14	19.71143515
15	18.64795176
16	17.83890006
17	16.92199481
18	16.32808074
19	15.74133565
20	15.18483115
21	14.72603952
22	14.35132579
23	13.9823845
24	13.62241718
25	13.43574715
26	13.14025301
27	12.88916898
28	12.70743238
29	12.54226877
30	12.35849712
31	12.21537532
32	12.04508549
33	11.70990132
34	11.46642009
35	11.30123833
36	11.2248412
37	10.9697196
38	10.55738257
39	10.38394862
40	10.29565629
41	10.07600063
42	9.72509842
43	9.618705617
44	9.420847676
45	9.16484575
46	9.110647991
47	8.971260104
48	8.802021954
49	8.704668177
50	8.57744475
51	8.510776714
52	8.430701142
53	8.31032614
54	8.230242776
55	8.135845076
56	8.007874609
57	7.873939242
58	7.785090785
59	7.734407964
60	7.602838915
61	7.518993475
62	7.43388827
63	7.340136602
64	7.31209582
65	7.218752651
66	7.105656541
67	7.027888215
68	6.928448371
69	6.810322705
70	6.705046281
71	6.582116338
72	6.444527962
73	6.36263213
74	6.308747348
75	6.233680459
76	6.130393873
77	6.082518059
78	6.065203417
79	5.993888815
80	5.945444608
81	5.879489699
82	5.781831536
83	5.711712327
84	5.61901624
85	5.588819932
86	5.509320754
87	5.453445113
88	5.427082766
89	5.364566331
90	5.309712125
91	5.244064692
92	5.18969917
93	5.133664813
94	5.076859536
95	5.039303101
96	4.995190233
97	4.935622791
98	4.893114455
99	4.83088421
