iter	Passed	Remaining
0	6	642
1	15	758
2	25	810
3	27	668
4	32	620
5	35	558
6	38	515
7	52	603
8	55	563
9	58	523
10	64	521
11	67	491
12	68	461
13	71	437
14	73	418
15	75	398
16	83	405
17	85	389
18	87	372
19	89	357
20	91	345
21	99	351
22	102	344
23	105	334
24	114	343
25	119	340
26	124	336
27	132	341
28	137	336
29	141	329
30	146	325
31	149	318
32	152	310
33	163	317
34	170	317
35	180	320
36	183	312
37	186	303
38	189	297
39	192	289
40	202	291
41	205	284
42	209	277
43	211	269
44	214	261
45	218	256
46	220	249
47	224	243
48	228	237
49	230	230
50	233	224
51	236	218
52	240	212
53	242	206
54	246	201
55	256	201
56	258	194
57	261	189
58	265	184
59	268	178
60	276	176
61	280	171
62	286	168
63	292	164
64	301	162
65	308	158
66	312	153
67	322	151
68	325	146
69	328	140
70	333	136
71	340	132
72	343	126
73	345	121
74	348	116
75	353	111
76	358	106
77	360	101
78	363	96
79	365	91
80	368	86
81	370	81
82	372	76
83	375	71
84	378	66
85	380	61
86	384	57
87	386	52
88	387	47
89	393	43
90	398	39
91	400	34
92	403	30
93	407	25
94	409	21
95	413	17
96	416	12
97	419	8
98	423	4
99	425	0
