    PID TTY      STAT   TIME COMMAND
      1 ?        Ss     0:01 /sbin/init splash
      2 ?        S      0:00 [kthreadd]
      3 ?        I<     0:00 [rcu_gp]
      4 ?        I<     0:00 [rcu_par_gp]
      5 ?        I<     0:00 [netns]
      7 ?        I<     0:00 [kworker/0:0H-events_highpri]
      8 ?        I      0:00 [kworker/u4:0-flush-8:0]
      9 ?        I<     0:00 [kworker/0:1H-events_highpri]
     10 ?        I<     0:00 [mm_percpu_wq]
     11 ?        I      0:00 [rcu_tasks_kthread]
     12 ?        I      0:00 [rcu_tasks_rude_kthread]
     13 ?        I      0:00 [rcu_tasks_trace_kthread]
     14 ?        S      0:00 [ksoftirqd/0]
     15 ?        I      0:00 [rcu_preempt]
     16 ?        S      0:00 [migration/0]
     18 ?        S      0:00 [cpuhp/0]
     19 ?        S      0:00 [cpuhp/1]
     20 ?        S      0:00 [migration/1]
     21 ?        S      0:00 [ksoftirqd/1]
     23 ?        I<     0:00 [kworker/1:0H-events_highpri]
     26 ?        S      0:00 [kdevtmpfs]
     27 ?        I<     0:00 [inet_frag_wq]
     28 ?        S      0:00 [kauditd]
     29 ?        S      0:00 [khungtaskd]
     30 ?        S      0:00 [oom_reaper]
     31 ?        I<     0:00 [writeback]
     32 ?        S      0:00 [kcompactd0]
     33 ?        SN     0:00 [ksmd]
     34 ?        SN     0:00 [khugepaged]
     35 ?        I<     0:00 [kintegrityd]
     36 ?        I<     0:00 [kblockd]
     37 ?        I<     0:00 [blkcg_punt_bio]
     38 ?        I<     0:00 [tpm_dev_wq]
     39 ?        I<     0:00 [edac-poller]
     40 ?        I<     0:00 [devfreq_wq]
     42 ?        S      0:00 [kswapd0]
     43 ?        I      0:00 [kworker/u4:2-flush-8:0]
     49 ?        I<     0:00 [kthrotld]
     51 ?        I<     0:00 [acpi_thermal_pm]
     52 ?        I<     0:00 [kworker/1:1H-events_highpri]
     53 ?        I<     0:00 [mld]
     54 ?        I<     0:00 [ipv6_addrconf]
     59 ?        I<     0:00 [kstrp]
     64 ?        I<     0:00 [zswap-shrink]
     65 ?        I<     0:00 [kworker/u5:0]
    130 ?        I      0:00 [kworker/0:2-events]
    131 ?        I<     0:00 [ata_sff]
    132 ?        S      0:00 [scsi_eh_0]
    133 ?        S      0:00 [scsi_eh_1]
    134 ?        I<     0:00 [scsi_tmf_0]
    135 ?        I<     0:00 [scsi_tmf_1]
    136 ?        S      0:00 [scsi_eh_2]
    137 ?        I<     0:00 [cryptd]
    138 ?        I<     0:00 [scsi_tmf_2]
    139 ?        I      0:00 [kworker/u4:3-events_unbound]
    149 ?        S      0:00 [irq/18-vmwgfx]
    150 ?        S      0:00 [card0-crtc0]
    151 ?        S      0:00 [card0-crtc1]
    152 ?        S      0:00 [card0-crtc2]
    153 ?        S      0:00 [card0-crtc3]
    154 ?        S      0:00 [card0-crtc4]
    155 ?        S      0:00 [card0-crtc5]
    156 ?        S      0:00 [card0-crtc6]
    157 ?        S      0:00 [card0-crtc7]
    254 ?        S      0:00 [jbd2/sda1-8]
    255 ?        I<     0:00 [ext4-rsv-conver]
    307 ?        Ss     0:00 /lib/systemd/systemd-journald
    331 ?        Ss     0:00 /lib/systemd/systemd-udevd
    373 ?        Ss     0:00 /usr/sbin/haveged --Foreground --verbose=1
    456 ?        Ss     0:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
    460 ?        Ssl    0:00 /usr/libexec/polkitd --no-debug
    461 ?        Ssl    0:00 /usr/sbin/rsyslogd -n -iNONE
    462 ?        Ss     0:00 /lib/systemd/systemd-logind
    491 ?        I<     0:00 [rpciod]
    492 ?        I<     0:00 [xprtiod]
    493 ?        Ss     0:00 /usr/sbin/cron -f
    497 ?        Ssl    0:00 /usr/sbin/NetworkManager --no-daemon
    508 ?        Ssl    0:00 /usr/sbin/ModemManager
    529 ?        Sl     0:00 /usr/sbin/VBoxService
    541 ?        SLsl   0:00 /usr/sbin/lightdm
    545 ?        Ssl    0:00 /usr/bin/containerd
